IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2015,false,,,,,,,,,,,,,175,,,150,,226,175 [150 – 226],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2015,false,,,,,,,,,,,,,219,,,208,,247,219 [208 – 247],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2015,false,,,,,,,,,,,,,43,,,38,,50,43 [38 – 50],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2015,false,,,,,,,,,,,,,548,,,504,,641,548 [504 – 641],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2015,false,,,,,,,,,,,,,59,,,57,,64,59 [57 – 64],,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2015,false,,,,,,,,,,,,,1500,,,1500,,1700,"1,500 [1,500 – 1,700]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2015,false,,,,,,,,,,,,,11000,,,9400,,12000,"11,000 [9,400 – 12,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2015,false,,,,,,,,,,,,,195000,,,180000,,228000,"195,000 [180,000 – 228,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2015,false,,,,,,,,,,,,,306000,,,291000,,345000,"306,000 [291,000 – 345,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2015,false,,,,,,,,,,,,,31000,,,27000,,40000,"31,000 [27,000 – 40,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2015,false,,,,,,,,,,,,,58000,,,52000,,68000,"58,000 [52,000 – 68,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2015,false,,,,,,,,,,,,,8800,,,8400,,9500,"8,800 [8,400 – 9,500]",,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2014,false,,,,,,,,,,,,,14,,,13,,15,14 [13 – 15],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2014,false,,,,,,,,,,,,,173,,,154,,200,173 [154 – 200],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2014,false,,,,,,,,,,,,,186,,,159,,235,186 [159 – 235],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2014,false,,,,,,,,,,,,,224,,,213,,251,224 [213 – 251],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2014,false,,,,,,,,,,,,,44,,,40,,51,44 [40 – 51],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2014,false,,,,,,,,,,,,,562,,,518,,648,562 [518 – 648],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2014,false,,,,,,,,,,,,,60,,,57,,64,60 [57 – 64],,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2014,false,,,,,,,,,,,,,1600,,,1500,,1800,"1,600 [1,500 – 1,800]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2014,false,,,,,,,,,,,,,11000,,,9800,,13000,"11,000 [9,800 – 13,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2014,false,,,,,,,,,,,,,197000,,,182000,,228000,"197,000 [182,000 – 228,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2014,false,,,,,,,,,,,,,313000,,,298000,,350000,"313,000 [298,000 – 350,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2014,false,,,,,,,,,,,,,33000,,,28000,,41000,"33,000 [28,000 – 41,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2014,false,,,,,,,,,,,,,62000,,,55000,,71000,"62,000 [55,000 – 71,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2014,false,,,,,,,,,,,,,8900,,,8500,,9500,"8,900 [8,500 – 9,500]",,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2013,false,,,,,,,,,,,,,15,,,14,,16,15 [14 – 16],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2013,false,,,,,,,,,,,,,182,,,163,,208,182 [163 – 208],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2013,false,,,,,,,,,,,,,190,,,164,,238,190 [164 – 238],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2013,false,,,,,,,,,,,,,229,,,218,,253,229 [218 – 253],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2013,false,,,,,,,,,,,,,46,,,41,,52,46 [41 – 52],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2013,false,,,,,,,,,,,,,572,,,530,,653,572 [530 – 653],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2013,false,,,,,,,,,,,,,60,,,58,,64,60 [58 – 64],,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2013,false,,,,,,,,,,,,,1700,,,1600,,1800,"1,700 [1,600 – 1,800]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2013,false,,,,,,,,,,,,,11000,,,10000,,13000,"11,000 [10,000 – 13,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2013,false,,,,,,,,,,,,,198000,,,183000,,226000,"198,000 [183,000 – 226,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2013,false,,,,,,,,,,,,,319000,,,304000,,352000,"319,000 [304,000 – 352,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2013,false,,,,,,,,,,,,,33000,,,29000,,42000,"33,000 [29,000 – 42,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2013,false,,,,,,,,,,,,,66000,,,59000,,75000,"66,000 [59,000 – 75,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2013,false,,,,,,,,,,,,,9000,,,8600,,9600,"9,000 [8,600 – 9,600]",,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2012,false,,,,,,,,,,,,,15,,,15,,16,15 [15 – 16],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2012,false,,,,,,,,,,,,,191,,,172,,217,191 [172 – 217],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2012,false,,,,,,,,,,,,,199,,,172,,247,199 [172 – 247],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2012,false,,,,,,,,,,,,,234,,,224,,257,234 [224 – 257],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2012,false,,,,,,,,,,,,,47,,,43,,53,47 [43 – 53],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2012,false,,,,,,,,,,,,,585,,,542,,661,585 [542 – 661],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2012,false,,,,,,,,,,,,,61,,,58,,65,61 [58 – 65],,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2012,false,,,,,,,,,,,,,1700,,,1700,,1900,"1,700 [1,700 – 1,900]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2012,false,,,,,,,,,,,,,12000,,,11000,,13000,"12,000 [11,000 – 13,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2012,false,,,,,,,,,,,,,199000,,,185000,,225000,"199,000 [185,000 – 225,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2012,false,,,,,,,,,,,,,326000,,,311000,,357000,"326,000 [311,000 – 357,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2012,false,,,,,,,,,,,,,34000,,,30000,,43000,"34,000 [30,000 – 43,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2012,false,,,,,,,,,,,,,70000,,,63000,,79000,"70,000 [63,000 – 79,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2012,false,,,,,,,,,,,,,9200,,,8800,,9700,"9,200 [8,800 – 9,700]",,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2011,false,,,,,,,,,,,,,16,,,15,,17,16 [15 – 17],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2011,false,,,,,,,,,,,,,202,,,182,,227,202 [182 – 227],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2011,false,,,,,,,,,,,,,208,,,181,,256,208 [181 – 256],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2011,false,,,,,,,,,,,,,241,,,230,,262,241 [230 – 262],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2011,false,,,,,,,,,,,,,49,,,45,,54,49 [45 – 54],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2011,false,,,,,,,,,,,,,599,,,558,,671,599 [558 – 671],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2011,false,,,,,,,,,,,,,62,,,60,,65,62 [60 – 65],,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2011,false,,,,,,,,,,,,,1800,,,1700,,1900,"1,800 [1,700 – 1,900]",,,EN,2019-12-13T00:00:00.000Z
